Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,6,1,1,Import,170,Colombia,COL,0,World,WLD,,,,,,,,870321,"Vehicles; with only spark-ignition internal combustion reciprocating piston engine, cylinder capacity not over 1000cc",5,Number of items,15617,,,,9378855,,55634445,,,4
H5,2017,2017,2017,6,1,1,Import,178,Congo,COG,0,World,WLD,,,,,,,,870321,"Vehicles; with only spark-ignition internal combustion reciprocating piston engine, cylinder capacity not over 1000cc",5,Number of items,15,,,,45903,,154653,,,2
H5,2017,2017,2017,6,1,1,Import,188,Costa Rica,CRI,0,World,WLD,,,,,,,,870321,"Vehicles; with only spark-ignition internal combustion reciprocating piston engine, cylinder capacity not over 1000cc",5,Number of items,1938,,,,1967777,,17144462,,,2
H5,2017,2017,2017,6,1,1,Import,191,Croatia,HRV,0,World,WLD,,,,,,,,870321,"Vehicles; with only spark-ignition internal combustion reciprocating piston engine, cylinder capacity not over 1000cc",1,No Quantity,0,,,,,,97818086,,,6
H5,2017,2017,2017,6,1,1,Import,196,Cyprus,CYP,0,World,WLD,,,,,,,,870321,"Vehicles; with only spark-ignition internal combustion reciprocating piston engine, cylinder capacity not over 1000cc",1,No Quantity,0,,,,,,18106188,,,6
H5,2017,2017,2017,6,1,1,Import,203,Czechia,CZE,0,World,WLD,,,,,,,,870321,"Vehicles; with only spark-ignition internal combustion reciprocating piston engine, cylinder capacity not over 1000cc",5,Number of items,22243,,,,20335581,,196931231,,,0
H5,2017,2017,2017,6,1,1,Import,208,Denmark,DNK,0,World,WLD,,,,,,,,870321,"Vehicles; with only spark-ignition internal combustion reciprocating piston engine, cylinder capacity not over 1000cc",5,Number of items,44855,,,,43953232,,426172754,,,0
H5,2017,2017,2017,6,1,1,Import,214,Dominican Rep.,DOM,0,World,WLD,,,,,,,,870321,"Vehicles; with only spark-ignition internal combustion reciprocating piston engine, cylinder capacity not over 1000cc",5,Number of items,1805,,,,1692668,,15968217,,,6
H5,2017,2017,2017,6,1,1,Import,218,Ecuador,ECU,0,World,WLD,,,,,,,,870321,"Vehicles; with only spark-ignition internal combustion reciprocating piston engine, cylinder capacity not over 1000cc",5,Number of items,3070,,,,2358347,,19451641,,,0
H5,2017,2017,2017,6,1,1,Import,222,El Salvador,SLV,0,World,WLD,,,,,,,,870321,"Vehicles; with only spark-ignition internal combustion reciprocating piston engine, cylinder capacity not over 1000cc",5,Number of items,291,,,,437659,,2886721,,,2
H5,2017,2017,2017,6,1,1,Import,233,Estonia,EST,0,World,WLD,,,,,,,,870321,"Vehicles; with only spark-ignition internal combustion reciprocating piston engine, cylinder capacity not over 1000cc",5,Number of items,2794,,,,2635122,,31036455,,,0
H5,2017,2017,2017,6,1,1,Import,242,Fiji,FJI,0,World,WLD,,,,,,,,870321,"Vehicles; with only spark-ignition internal combustion reciprocating piston engine, cylinder capacity not over 1000cc",5,Number of items,120,,,,59124,,557761,,,4
H5,2017,2017,2017,6,1,1,Import,246,Finland,FIN,0,World,WLD,,,,,,,,870321,"Vehicles; with only spark-ignition internal combustion reciprocating piston engine, cylinder capacity not over 1000cc",5,Number of items,21292,,,,20081221,,236637153,,,0
H5,2017,2017,2017,6,1,1,Import,251,France,FRA,0,World,WLD,,,,,,,,870321,"Vehicles; with only spark-ignition internal combustion reciprocating piston engine, cylinder capacity not over 1000cc",5,Number of items,360820,,,,337007062,,3191257354,,,6
H5,2017,2017,2017,6,1,1,Import,276,Germany,DEU,0,World,WLD,,,,,,,,870321,"Vehicles; with only spark-ignition internal combustion reciprocating piston engine, cylinder capacity not over 1000cc",5,Number of items,319704,,,,297968445,,3182560993,,,0
H5,2017,2017,2017,6,1,1,Import,300,Greece,GRC,0,World,WLD,,,,,,,,870321,"Vehicles; with only spark-ignition internal combustion reciprocating piston engine, cylinder capacity not over 1000cc",5,Number of items,29770,,,,14632278,,118204849,,,6
H5,2017,2017,2017,6,1,1,Import,304,Greenland,GRL,0,World,WLD,,,,,,,,870321,"Vehicles; with only spark-ignition internal combustion reciprocating piston engine, cylinder capacity not over 1000cc",5,Number of items,84,,,,70217,,836364,,,2
H5,2017,2017,2017,6,1,1,Import,320,Guatemala,GTM,0,World,WLD,,,,,,,,870321,"Vehicles; with only spark-ignition internal combustion reciprocating piston engine, cylinder capacity not over 1000cc",5,Number of items,1051,,,,1861490,,10428084,,,2
H5,2017,2017,2017,6,1,1,Import,340,Honduras,HND,0,World,WLD,,,,,,,,870321,"Vehicles; with only spark-ignition internal combustion reciprocating piston engine, cylinder capacity not over 1000cc",5,Number of items,3837,,,,700589,,4571011,,,0
H5,2017,2017,2017,6,1,1,Import,344,"China, Hong Kong SAR",HKG,0,World,WLD,,,,,,,,870321,"Vehicles; with only spark-ignition internal combustion reciprocating piston engine, cylinder capacity not over 1000cc",5,Number of items,603,,,,680190,,6416749,,,4
H5,2017,2017,2017,6,1,1,Import,348,Hungary,HUN,0,World,WLD,,,,,,,,870321,"Vehicles; with only spark-ignition internal combustion reciprocating piston engine, cylinder capacity not over 1000cc",5,Number of items,14478,,,,14208518,,173731517,,,0
H5,2017,2017,2017,6,1,1,Import,352,Iceland,ISL,0,World,WLD,,,,,,,,870321,"Vehicles; with only spark-ignition internal combustion reciprocating piston engine, cylinder capacity not over 1000cc",5,Number of items,3108,,,,3052220,,32381674,,,0
H5,2017,2017,2017,6,1,1,Import,360,Indonesia,IDN,0,World,WLD,,,,,,,,870321,"Vehicles; with only spark-ignition internal combustion reciprocating piston engine, cylinder capacity not over 1000cc",5,Number of items,341,,,,720849,,3390062,,,2
H5,2017,2017,2017,6,1,1,Import,364,Iran,IRN,0,World,WLD,,,,,,,,870321,"Vehicles; with only spark-ignition internal combustion reciprocating piston engine, cylinder capacity not over 1000cc",5,Number of items,1,,,,1567,,18940,,,2
H5,2017,2017,2017,6,1,1,Import,372,Ireland,IRL,0,World,WLD,,,,,,,,870321,"Vehicles; with only spark-ignition internal combustion reciprocating piston engine, cylinder capacity not over 1000cc",5,Number of items,13515,,,,14948134,,150311445,,,0
H5,2017,2017,2017,6,1,1,Import,376,Israel,ISR,0,World,WLD,,,,,,,,870321,"Vehicles; with only spark-ignition internal combustion reciprocating piston engine, cylinder capacity not over 1000cc",5,Number of items,13623,,,,16748372,,158000000,,,4
H5,2017,2017,2017,6,1,1,Import,381,Italy,ITA,0,World,WLD,,,,,,,,870321,"Vehicles; with only spark-ignition internal combustion reciprocating piston engine, cylinder capacity not over 1000cc",5,Number of items,236447,,,,247920632,,2333695326,,,0
H5,2017,2017,2017,6,1,1,Import,392,Japan,JPN,0,World,WLD,,,,,,,,870321,"Vehicles; with only spark-ignition internal combustion reciprocating piston engine, cylinder capacity not over 1000cc",5,Number of items,21212,,,,30224622,,285131612,,,4
